20230126	08:31:29	00f149ce-fa1e-44ef-9395-b35f21d9e3a3	POST	undefined	/employees
20230126	08:31:51	107ae1ab-cd56-41b3-9c7e-bc76f45c6dfa	PUT	undefined	/employees
20230126	08:32:08	4816ade9-6f76-468d-9383-90f0263c9fd2	DELETE	undefined	/employees
20230126	11:28:29	27ad1b02-b093-4de9-b6b9-18108157e3f7	GET	undefined	/
20230126	11:28:29	bf404ac0-ff4a-4c22-958a-89568855ac2f	GET	undefined	/css/style.css
20230126	11:28:37	b19baec4-09b9-496d-97f7-7f9b4dfde8e8	GET	undefined	/register
20230126	11:28:37	eb2acb20-a732-436c-9b27-279859d0a54e	GET	undefined	/css/style.css
20230126	11:31:35	50efc27d-1368-472b-b0f6-153d06e09905	POST	undefined	/register
20230126	11:32:14	db578c59-05a3-4eed-b53e-1e7f706d2543	POST	undefined	/register
20230126	11:46:54	76873c17-4955-404c-bcb1-8aa79d878506	POST	undefined	/auth
20230126	11:47:18	624d8256-9d34-40ba-a157-31c8b09e3d2d	POST	undefined	/auth
20230126	14:09:06	e9df5956-f883-42f5-9e8d-2dbd6af8fb85	POST	undefined	/auth
20230126	14:10:14	9d1f0b0e-b7b7-47fd-b22c-99ffdfe3add3	GET	undefined	/employees
20230126	14:10:22	1c19a726-d794-4acf-ac16-0229318c18dd	POST	undefined	/auth
20230126	14:10:33	e8d4bd63-e563-4cff-94a1-780ce6932860	GET	undefined	/employees
20230126	14:17:10	0113c0ff-4479-4bbf-9503-211d0aef2913	POST	undefined	/auth
20230126	14:17:22	973bba01-0f46-4b9f-92f9-ceb4d04d094e	GET	undefined	/employees
20230126	14:17:32	9bfbd906-3b72-45ca-89f6-4e8573bd3469	GET	undefined	/employees
20230126	14:17:33	d7369f11-ec37-440a-b5b9-9a66534398b6	GET	undefined	/employees
20230126	14:17:34	f9de1928-b06d-4a83-a8df-c72b0fe1fb19	GET	undefined	/employees
20230126	14:17:35	e312e93d-c652-4433-97fc-24a9322165e5	GET	undefined	/employees
20230126	14:17:36	1949fcd2-081d-4dae-b82e-1d8b5648335d	GET	undefined	/employees
20230126	14:17:37	777e21f4-4967-49dd-ac6d-1d97d1d80ffa	GET	undefined	/employees
20230126	14:17:37	afe1dd68-9df5-44a2-854a-564408d4ff3f	GET	undefined	/employees
20230126	14:17:38	847c0c8a-4bf3-4490-a61f-9a785e1e8247	GET	undefined	/employees
20230126	14:17:39	33969148-bec2-4784-abb9-0182f354d95f	GET	undefined	/employees
20230126	14:17:39	9ddc8440-fc94-45d1-9499-49a47db87c11	GET	undefined	/employees
20230126	14:17:40	45fc3741-0a05-4d7b-a40b-8df750432358	GET	undefined	/employees
20230126	14:17:41	6931226d-29a2-44b8-af0f-e6f81c319b97	GET	undefined	/employees
20230126	14:18:02	4271e3a0-dd92-49ba-9685-40db145847e6	POST	undefined	/employees
20230126	14:45:55	fd31d330-216f-410d-9a7d-7dfab09483aa	POST	undefined	/auth
20230126	14:47:03	848cacd2-072d-461e-b596-5a1e1bc7a0dc	GET	undefined	/refresh
20230126	14:47:36	58d12186-a962-4e14-b4ea-294837e1a35c	GET	undefined	/refresh
20230126	14:47:37	5c86e1dd-b99f-4229-8509-ea1ff3d41b3a	GET	undefined	/refresh
20230126	14:47:59	8ddc0e4c-ba7b-45e2-a872-617730086bcb	POST	undefined	/auth
20230126	14:48:08	ebe77f35-917f-4f7a-837d-248d9c785ae1	GET	undefined	/refresh
